name,Status[5],area,lower_end,upper_end,number_of_steps,"length","height",Bild,"named_after"
Staffel zur Sandbergerstraße,,Stuttgart-Ost,Richard-Wagner-Straße,Sandbergerstraße,,80,,,–
Staffel zur Schillereiche,,Stuttgart-Süd,,,,,31,,-
Staffel zur Schiltacher Straße,,Stuttgart-Süd,Hummelwiesen/Hummelwiesenweg,Schiltacher Straße,,,,,–
Staffel zur Speemannstraße,,Stuttgart-Ost,,,,,17,,–
Staffel zur Schützenstraße,,Stuttgart-Mitte (Kernerviertel),Werastraße,Schützenstraße,,,,,–
Staffel zur Triberger Straße,,Stuttgart-Süd,Schiltacher Straße,Triberger Straße,,,,,–
Staffel zur Vogelsangstraße,,Stuttgart-West,Rückertstraße,Vogelsangstraße,,,21,,–
Staffel zur Walterstraße,,Stuttgart-Feuerbach,,,,,,,–
Staffel/Steige zur Zeppelinstraße,,Stuttgart-West,,,,,6,,–
Staffel zur Zumsteegstraße,,Stuttgart-Botnang,,,,,6,,–
Staffelstraße,,Stuttgart-Mitte,Staffelstraße,Schubartstraße,,,5,,–
Stotzstraße,,Stuttgart-Mitte,Stotzstraße,Werastraße,,,,,–
Straußstaffel,offiziell,Stuttgart-Ost,Bussenstraße,Hugo-Eckener-Straße,,,25,,"David Friedrich Strauß (benannt 1925, Philosoph und Theologe aus Ludwigsburg)"
Südheimer Platz,,Stuttgart-Süd,Böblingerstraße,Leonbergerstraße,,,18,,–
Sünderstaffel,offiziell,Stuttgart-Mitte,Pfizerstraße,Stafflenbergstraße,259,116,42,,"ehem. Restaurant zum Sünder (benannt 1893, Flurname Sünder)"
Taubenstaffel,offiziell,Stuttgart-Süd,Böblinger Straße,Hohentwielstraße,357,233,61,,"Taube (benannt 1972, Vogelart)"
Teehaus/Weißenburgpark,,Stuttgart-Süd,Biergarten Teehaus,Aussichtspunkt,,,15,,–
Tiergartenweg,,Stuttgart-Nord,,,36,,9,,–
Untere Altenbergstaffel,,Stuttgart-Süd,Tulpenstraße,Zellerstraße,,,,,
Viktor-Köchl-Weg,,Stuttgart-Nord,Lenzhalde,Feuerbacher Heide,,,45,,–
Wächterstaffel,offiziell,Stuttgart-Mitte,Olgastraße,Danneckerstraße,,,32,,"Eberhard von Wächter (benannt 1902, Maler)"
Weinbergstaffel,offiziell,Stuttgart-Vaihingen,Weinbergweg,Knappenweg,,,39,,Weinberg (benannt 1975)
Wenzelstraße,,Stuttgart-Mühlhausen,,,,,13,,–
Widmannweg,,Stuttgart-West,Rotebühlstraße,Reinsburgstraße,,,,,–
Wiederholdstaffel,,Stuttgart-Nord,Wiederholdstraße,Relenbergstraße,60,,,,–
Willy-Reichert-Staffel,offiziell,Stuttgart-Süd,Hohenstaufen Straße,Karlshöhe,407/408,210,78,,"Willy Reichert (benannt 1976, Volksschauspieler und Humorist)"
Witthohstaffel,offiziell,Stuttgart-Süd,Wannenstraße,Rebenreute,235,112,34,,"Witthoh (benannt 1930, Höhenzug südlich von Tuttlingen)"
Wullestaffel,offiziell,Stuttgart-Mitte,Mittlerer Schlossgarten,Kernerplatz,111,94,18,,"Ernst Wulle (benannt 1988, deutscher Unternehmer und Begründer einer Stiftung)"
Zamenhofstaffel,,Stuttgart-West,Herderstraße,Zamenhofstraße,,,,,
